,Prompt,Answer
3737,"Your current position: (1,1), you have to reach (2,1).",down
3738,"Your current position: (1,0), you have to reach (2,1).",right
3739,"Your current position: (1,1), you have to reach (2,1).",down
3740,"Your current position: (3,0), you have to reach (0,1).",up
3741,"Your current position: (2,0), you have to reach (0,1).",up
3742,"Your current position: (1,0), you have to reach (0,1).",right
3743,"Your current position: (1,1), you have to reach (0,1).",up
3744,"Your current position: (0,2), you have to reach (3,3).",down
3745,"Your current position: (1,2), you have to reach (3,3).",down
3746,"Your current position: (2,2), you have to reach (3,3).",right
3747,"Your current position: (2,3), you have to reach (3,3).",down
3748,"Your current position: (3,3), you have to reach (3,1).",left
3749,"Your current position: (3,2), you have to reach (3,1).",left
3750,"Your current position: (1,3), you have to reach (3,3).",down
3751,"Your current position: (2,3), you have to reach (3,3).",down
3752,"Your current position: (1,3), you have to reach (0,2).",left
3753,"Your current position: (1,2), you have to reach (0,2).",up
3754,"Your current position: (1,0), you have to reach (3,0).",down
3755,"Your current position: (2,0), you have to reach (3,0).",down
3756,"Your current position: (0,3), you have to reach (2,2).",down
3757,"Your current position: (1,3), you have to reach (2,2).",left
3758,"Your current position: (1,2), you have to reach (2,2).",down
3759,"Your current position: (1,2), you have to reach (0,2).",up
3760,"Your current position: (0,2), you have to reach (3,1).",down
3761,"Your current position: (1,2), you have to reach (3,1).",down
3762,"Your current position: (2,2), you have to reach (3,1).",left
3763,"Your current position: (2,1), you have to reach (3,1).",down
3764,"Your current position: (2,2), you have to reach (0,1).",up
3765,"Your current position: (1,2), you have to reach (0,1).",left
3766,"Your current position: (1,1), you have to reach (0,1).",up
3767,"Your current position: (2,1), you have to reach (3,1).",down
3768,"Your current position: (2,3), you have to reach (3,2).",left
3769,"Your current position: (2,2), you have to reach (3,2).",down
3770,"Your current position: (3,1), you have to reach (2,2).",right
3771,"Your current position: (3,2), you have to reach (2,2).",up
3772,"Your current position: (0,0), you have to reach (1,3).",right
3773,"Your current position: (0,1), you have to reach (1,3).",right
3774,"Your current position: (0,2), you have to reach (1,3).",right
3775,"Your current position: (0,3), you have to reach (1,3).",down
3776,"Your current position: (2,3), you have to reach (3,1).",left
3777,"Your current position: (2,2), you have to reach (3,1).",left
3778,"Your current position: (2,1), you have to reach (3,1).",down
3779,"Your current position: (1,0), you have to reach (1,2).",right
3780,"Your current position: (1,1), you have to reach (1,2).",right
3781,"Your current position: (2,2), you have to reach (0,2).",up
3782,"Your current position: (1,2), you have to reach (0,2).",up
3783,"Your current position: (2,3), you have to reach (0,1).",left
3784,"Your current position: (2,2), you have to reach (0,1).",up
3785,"Your current position: (1,2), you have to reach (0,1).",left
3786,"Your current position: (1,1), you have to reach (0,1).",up
3787,"Your current position: (2,2), you have to reach (2,1).",left
3788,"Your current position: (1,2), you have to reach (0,2).",up
3789,"Your current position: (3,2), you have to reach (1,2).",up
3790,"Your current position: (2,2), you have to reach (1,2).",up
3791,"Your current position: (1,3), you have to reach (0,1).",left
3792,"Your current position: (1,2), you have to reach (0,1).",left
3793,"Your current position: (1,1), you have to reach (0,1).",up
3794,"Your current position: (1,2), you have to reach (1,3).",right
3795,"Your current position: (2,1), you have to reach (1,0).",left
3796,"Your current position: (2,0), you have to reach (1,0).",up
3797,"Your current position: (2,1), you have to reach (3,3).",right
3798,"Your current position: (2,2), you have to reach (3,3).",right
3799,"Your current position: (2,3), you have to reach (3,3).",down
3800,"Your current position: (0,3), you have to reach (3,3).",down
3801,"Your current position: (1,3), you have to reach (3,3).",down
3802,"Your current position: (2,3), you have to reach (3,3).",down
3803,"Your current position: (3,2), you have to reach (0,2).",up
3804,"Your current position: (2,2), you have to reach (0,2).",up
3805,"Your current position: (1,2), you have to reach (0,2).",up
3806,"Your current position: (3,2), you have to reach (1,1).",up
3807,"Your current position: (2,2), you have to reach (1,1).",left
3808,"Your current position: (2,1), you have to reach (1,1).",up
3809,"Your current position: (2,0), you have to reach (0,1).",up
3810,"Your current position: (1,0), you have to reach (0,1).",right
3811,"Your current position: (1,1), you have to reach (0,1).",up
3812,"Your current position: (2,0), you have to reach (3,3).",right
3813,"Your current position: (2,1), you have to reach (3,3).",right
3814,"Your current position: (2,2), you have to reach (3,3).",right
3815,"Your current position: (2,3), you have to reach (3,3).",down
3816,"Your current position: (0,1), you have to reach (1,1).",down
3817,"Your current position: (0,3), you have to reach (0,1).",left
3818,"Your current position: (0,2), you have to reach (0,1).",left
3819,"Your current position: (2,1), you have to reach (1,2).",right
3820,"Your current position: (2,2), you have to reach (1,2).",up
3821,"Your current position: (3,0), you have to reach (0,3).",right
3822,"Your current position: (3,1), you have to reach (0,3).",up
3823,"Your current position: (2,1), you have to reach (0,3).",right
3824,"Your current position: (2,2), you have to reach (0,3).",up
3825,"Your current position: (1,2), you have to reach (0,3).",right
3826,"Your current position: (1,3), you have to reach (0,3).",up
3827,"Your current position: (0,3), you have to reach (2,0).",left
3828,"Your current position: (0,2), you have to reach (2,0).",left
3829,"Your current position: (0,1), you have to reach (2,0).",down
3830,"Your current position: (1,1), you have to reach (2,0).",left
3831,"Your current position: (1,0), you have to reach (2,0).",down
3832,"Your current position: (3,0), you have to reach (0,1).",up
3833,"Your current position: (2,0), you have to reach (0,1).",up
3834,"Your current position: (1,0), you have to reach (0,1).",right
3835,"Your current position: (1,1), you have to reach (0,1).",up
3836,"Your current position: (1,1), you have to reach (1,2).",right
3837,"Your current position: (0,3), you have to reach (0,0).",left
3838,"Your current position: (0,2), you have to reach (0,0).",left
3839,"Your current position: (0,1), you have to reach (0,0).",left
3840,"Your current position: (1,3), you have to reach (1,2).",left
3841,"Your current position: (0,1), you have to reach (1,3).",right
3842,"Your current position: (0,2), you have to reach (1,3).",right
3843,"Your current position: (0,3), you have to reach (1,3).",down
3844,"Your current position: (2,0), you have to reach (2,1).",right
3845,"Your current position: (3,2), you have to reach (2,1).",left
3846,"Your current position: (3,1), you have to reach (2,1).",up
3847,"Your current position: (3,1), you have to reach (0,1).",up
3848,"Your current position: (2,1), you have to reach (0,1).",up
3849,"Your current position: (1,1), you have to reach (0,1).",up
3850,"Your current position: (3,2), you have to reach (3,0).",left
3851,"Your current position: (3,1), you have to reach (3,0).",left
3852,"Your current position: (2,1), you have to reach (1,0).",left
3853,"Your current position: (2,0), you have to reach (1,0).",up
3854,"Your current position: (0,2), you have to reach (0,0).",left
3855,"Your current position: (0,1), you have to reach (0,0).",left
3856,"Your current position: (1,3), you have to reach (2,2).",left
3857,"Your current position: (1,2), you have to reach (2,2).",down
3858,"Your current position: (1,1), you have to reach (2,0).",left
3859,"Your current position: (1,0), you have to reach (2,0).",down
3860,"Your current position: (3,3), you have to reach (2,3).",up
3861,"Your current position: (0,1), you have to reach (1,3).",right
3862,"Your current position: (0,2), you have to reach (1,3).",right
3863,"Your current position: (0,3), you have to reach (1,3).",down
3864,"Your current position: (0,2), you have to reach (1,3).",right
3865,"Your current position: (0,3), you have to reach (1,3).",down
3866,"Your current position: (2,3), you have to reach (0,2).",up
3867,"Your current position: (1,3), you have to reach (0,2).",left
3868,"Your current position: (1,2), you have to reach (0,2).",up
3869,"Your current position: (2,1), you have to reach (3,0).",left
3870,"Your current position: (2,0), you have to reach (3,0).",down
3871,"Your current position: (3,2), you have to reach (1,1).",up
3872,"Your current position: (2,2), you have to reach (1,1).",left
3873,"Your current position: (2,1), you have to reach (1,1).",up
3874,"Your current position: (3,1), you have to reach (2,2).",right
3875,"Your current position: (3,2), you have to reach (2,2).",up
3876,"Your current position: (2,1), you have to reach (0,2).",up
3877,"Your current position: (1,1), you have to reach (0,2).",right
3878,"Your current position: (1,2), you have to reach (0,2).",up
3879,"Your current position: (3,1), you have to reach (1,2).",up
3880,"Your current position: (2,1), you have to reach (1,2).",right
3881,"Your current position: (2,2), you have to reach (1,2).",up
3882,"Your current position: (1,2), you have to reach (2,3).",right
3883,"Your current position: (1,3), you have to reach (2,3).",down
3884,"Your current position: (3,0), you have to reach (1,2).",right
3885,"Your current position: (3,1), you have to reach (1,2).",up
3886,"Your current position: (2,1), you have to reach (1,2).",right
3887,"Your current position: (2,2), you have to reach (1,2).",up
3888,"Your current position: (0,1), you have to reach (3,2).",down
3889,"Your current position: (1,1), you have to reach (3,2).",down
3890,"Your current position: (2,1), you have to reach (3,2).",right
3891,"Your current position: (2,2), you have to reach (3,2).",down
3892,"Your current position: (3,3), you have to reach (2,3).",up
3893,"Your current position: (0,2), you have to reach (1,1).",left
3894,"Your current position: (0,1), you have to reach (1,1).",down
3895,"Your current position: (2,0), you have to reach (3,2).",right
3896,"Your current position: (2,1), you have to reach (3,2).",right
3897,"Your current position: (2,2), you have to reach (3,2).",down
3898,"Your current position: (2,2), you have to reach (1,0).",left
3899,"Your current position: (2,1), you have to reach (1,0).",left
3900,"Your current position: (2,0), you have to reach (1,0).",up
3901,"Your current position: (2,3), you have to reach (2,2).",left
3902,"Your current position: (1,0), you have to reach (0,0).",up
3903,"Your current position: (2,0), you have to reach (1,3).",right
3904,"Your current position: (2,1), you have to reach (1,3).",right
3905,"Your current position: (2,2), you have to reach (1,3).",right
3906,"Your current position: (2,3), you have to reach (1,3).",up
3907,"Your current position: (1,1), you have to reach (0,0).",left
3908,"Your current position: (1,0), you have to reach (0,0).",up
3909,"Your current position: (0,1), you have to reach (3,1).",down
3910,"Your current position: (1,1), you have to reach (3,1).",down
3911,"Your current position: (2,1), you have to reach (3,1).",down
3912,"Your current position: (2,3), you have to reach (0,0).",left
3913,"Your current position: (2,2), you have to reach (0,0).",left
3914,"Your current position: (2,1), you have to reach (0,0).",up
3915,"Your current position: (1,1), you have to reach (0,0).",left
3916,"Your current position: (1,0), you have to reach (0,0).",up
3917,"Your current position: (2,0), you have to reach (2,1).",right
3918,"Your current position: (1,3), you have to reach (2,1).",left
3919,"Your current position: (1,2), you have to reach (2,1).",left
3920,"Your current position: (1,1), you have to reach (2,1).",down
3921,"Your current position: (2,0), you have to reach (1,3).",right
3922,"Your current position: (2,1), you have to reach (1,3).",right
3923,"Your current position: (2,2), you have to reach (1,3).",right
3924,"Your current position: (2,3), you have to reach (1,3).",up
3925,"Your current position: (2,2), you have to reach (0,2).",up
3926,"Your current position: (1,2), you have to reach (0,2).",up
3927,"Your current position: (0,3), you have to reach (1,1).",left
3928,"Your current position: (0,2), you have to reach (1,1).",left
3929,"Your current position: (0,1), you have to reach (1,1).",down
3930,"Your current position: (3,0), you have to reach (3,3).",right
3931,"Your current position: (3,1), you have to reach (3,3).",right
3932,"Your current position: (3,2), you have to reach (3,3).",right
3933,"Your current position: (3,2), you have to reach (2,2).",up
3934,"Your current position: (2,0), you have to reach (2,3).",right
3935,"Your current position: (2,1), you have to reach (2,3).",right
3936,"Your current position: (2,2), you have to reach (2,3).",right
3937,"Your current position: (2,0), you have to reach (3,1).",right
3938,"Your current position: (2,1), you have to reach (3,1).",down
3939,"Your current position: (0,1), you have to reach (2,3).",right
3940,"Your current position: (0,2), you have to reach (2,3).",down
3941,"Your current position: (1,2), you have to reach (2,3).",right
3942,"Your current position: (1,3), you have to reach (2,3).",down
3943,"Your current position: (3,2), you have to reach (0,2).",up
3944,"Your current position: (2,2), you have to reach (0,2).",up
3945,"Your current position: (1,2), you have to reach (0,2).",up
3946,"Your current position: (2,0), you have to reach (1,1).",right
3947,"Your current position: (2,1), you have to reach (1,1).",up
3948,"Your current position: (2,2), you have to reach (1,3).",right
3949,"Your current position: (2,3), you have to reach (1,3).",up
3950,"Your current position: (2,2), you have to reach (3,3).",right
3951,"Your current position: (2,3), you have to reach (3,3).",down
3952,"Your current position: (0,3), you have to reach (0,1).",left
3953,"Your current position: (0,2), you have to reach (0,1).",left
3954,"Your current position: (2,3), you have to reach (1,2).",left
3955,"Your current position: (2,2), you have to reach (1,2).",up
3956,"Your current position: (2,3), you have to reach (2,2).",left
3957,"Your current position: (0,2), you have to reach (0,3).",right
3958,"Your current position: (3,1), you have to reach (1,0).",up
3959,"Your current position: (2,1), you have to reach (1,0).",left
3960,"Your current position: (2,0), you have to reach (1,0).",up
3961,"Your current position: (2,1), you have to reach (0,0).",up
3962,"Your current position: (1,1), you have to reach (0,0).",left
3963,"Your current position: (1,0), you have to reach (0,0).",up
3964,"Your current position: (3,0), you have to reach (0,1).",up
3965,"Your current position: (2,0), you have to reach (0,1).",up
3966,"Your current position: (1,0), you have to reach (0,1).",right
3967,"Your current position: (1,1), you have to reach (0,1).",up
3968,"Your current position: (3,2), you have to reach (2,2).",up
3969,"Your current position: (3,1), you have to reach (3,0).",left
3970,"Your current position: (1,1), you have to reach (2,2).",right
3971,"Your current position: (1,2), you have to reach (2,2).",down
3972,"Your current position: (3,3), you have to reach (3,1).",left
3973,"Your current position: (3,2), you have to reach (3,1).",left
3974,"Your current position: (2,1), you have to reach (1,2).",right
3975,"Your current position: (2,2), you have to reach (1,2).",up
3976,"Your current position: (2,2), you have to reach (2,3).",right
3977,"Your current position: (1,1), you have to reach (1,3).",right
3978,"Your current position: (1,2), you have to reach (1,3).",right
3979,"Your current position: (2,0), you have to reach (2,1).",right
3980,"Your current position: (3,1), you have to reach (3,3).",right
3981,"Your current position: (3,2), you have to reach (3,3).",right
3982,"Your current position: (0,0), you have to reach (2,3).",right
3983,"Your current position: (0,1), you have to reach (2,3).",right
3984,"Your current position: (0,2), you have to reach (2,3).",down
3985,"Your current position: (1,2), you have to reach (2,3).",right
3986,"Your current position: (1,3), you have to reach (2,3).",down
3987,"Your current position: (3,2), you have to reach (1,3).",up
3988,"Your current position: (2,2), you have to reach (1,3).",right
3989,"Your current position: (2,3), you have to reach (1,3).",up
3990,"Your current position: (0,3), you have to reach (2,3).",down
3991,"Your current position: (1,3), you have to reach (2,3).",down
3992,"Your current position: (1,2), you have to reach (2,2).",down
3993,"Your current position: (3,0), you have to reach (2,3).",right
3994,"Your current position: (3,1), you have to reach (2,3).",right
3995,"Your current position: (3,2), you have to reach (2,3).",right
3996,"Your current position: (3,3), you have to reach (2,3).",up
3997,"Your current position: (3,1), you have to reach (0,2).",up
3998,"Your current position: (2,1), you have to reach (0,2).",up
3999,"Your current position: (1,1), you have to reach (0,2).",right
4000,"Your current position: (1,2), you have to reach (0,2).",up
4001,"Your current position: (3,2), you have to reach (1,3).",up
4002,"Your current position: (2,2), you have to reach (1,3).",right
4003,"Your current position: (2,3), you have to reach (1,3).",up
4004,"Your current position: (1,3), you have to reach (1,0).",left
4005,"Your current position: (1,2), you have to reach (1,0).",left
4006,"Your current position: (1,1), you have to reach (1,0).",left
4007,"Your current position: (2,1), you have to reach (3,1).",down
4008,"Your current position: (0,1), you have to reach (2,3).",right
4009,"Your current position: (0,2), you have to reach (2,3).",down
4010,"Your current position: (1,2), you have to reach (2,3).",right
4011,"Your current position: (1,3), you have to reach (2,3).",down
4012,"Your current position: (0,0), you have to reach (1,0).",down
4013,"Your current position: (1,0), you have to reach (1,1).",right
4014,"Your current position: (2,1), you have to reach (1,2).",right
4015,"Your current position: (2,2), you have to reach (1,2).",up
4016,"Your current position: (1,3), you have to reach (3,1).",left
4017,"Your current position: (1,2), you have to reach (3,1).",down
4018,"Your current position: (2,2), you have to reach (3,1).",left
4019,"Your current position: (2,1), you have to reach (3,1).",down
4020,"Your current position: (0,1), you have to reach (2,0).",down
4021,"Your current position: (1,1), you have to reach (2,0).",left
4022,"Your current position: (1,0), you have to reach (2,0).",down
4023,"Your current position: (0,3), you have to reach (0,2).",left
4024,"Your current position: (3,3), you have to reach (3,2).",left
4025,"Your current position: (3,1), you have to reach (1,1).",up
4026,"Your current position: (2,1), you have to reach (1,1).",up
4027,"Your current position: (0,3), you have to reach (3,3).",down
4028,"Your current position: (1,3), you have to reach (3,3).",down
4029,"Your current position: (2,3), you have to reach (3,3).",down
4030,"Your current position: (0,2), you have to reach (0,3).",right
4031,"Your current position: (2,1), you have to reach (0,3).",right
4032,"Your current position: (2,2), you have to reach (0,3).",up
4033,"Your current position: (1,2), you have to reach (0,3).",right
4034,"Your current position: (1,3), you have to reach (0,3).",up
4035,"Your current position: (0,0), you have to reach (1,1).",right
4036,"Your current position: (0,1), you have to reach (1,1).",down
4037,"Your current position: (1,3), you have to reach (3,0).",left
4038,"Your current position: (1,2), you have to reach (3,0).",left
4039,"Your current position: (1,1), you have to reach (3,0).",down
4040,"Your current position: (2,1), you have to reach (3,0).",left
4041,"Your current position: (2,0), you have to reach (3,0).",down
4042,"Your current position: (0,0), you have to reach (2,3).",right
4043,"Your current position: (0,1), you have to reach (2,3).",right
4044,"Your current position: (0,2), you have to reach (2,3).",down
4045,"Your current position: (1,2), you have to reach (2,3).",right
4046,"Your current position: (1,3), you have to reach (2,3).",down
4047,"Your current position: (3,2), you have to reach (1,1).",up
4048,"Your current position: (2,2), you have to reach (1,1).",left
4049,"Your current position: (2,1), you have to reach (1,1).",up
4050,"Your current position: (0,2), you have to reach (3,1).",down
4051,"Your current position: (1,2), you have to reach (3,1).",down
4052,"Your current position: (2,2), you have to reach (3,1).",left
4053,"Your current position: (2,1), you have to reach (3,1).",down
4054,"Your current position: (0,3), you have to reach (3,2).",down
4055,"Your current position: (1,3), you have to reach (3,2).",down
4056,"Your current position: (2,3), you have to reach (3,2).",left
4057,"Your current position: (2,2), you have to reach (3,2).",down
4058,"Your current position: (0,3), you have to reach (1,0).",left
4059,"Your current position: (0,2), you have to reach (1,0).",left
4060,"Your current position: (0,1), you have to reach (1,0).",left
4061,"Your current position: (0,0), you have to reach (1,0).",down
4062,"Your current position: (1,2), you have to reach (3,0).",left
4063,"Your current position: (1,1), you have to reach (3,0).",down
4064,"Your current position: (2,1), you have to reach (3,0).",left
4065,"Your current position: (2,0), you have to reach (3,0).",down
4066,"Your current position: (1,1), you have to reach (1,0).",left
4067,"Your current position: (3,3), you have to reach (1,3).",up
4068,"Your current position: (2,3), you have to reach (1,3).",up
4069,"Your current position: (0,1), you have to reach (2,3).",right
4070,"Your current position: (0,2), you have to reach (2,3).",down
4071,"Your current position: (1,2), you have to reach (2,3).",right
4072,"Your current position: (1,3), you have to reach (2,3).",down
4073,"Your current position: (2,1), you have to reach (2,2).",right
4074,"Your current position: (2,2), you have to reach (2,0).",left
4075,"Your current position: (2,1), you have to reach (2,0).",left
4076,"Your current position: (2,0), you have to reach (3,3).",right
4077,"Your current position: (2,1), you have to reach (3,3).",right
4078,"Your current position: (2,2), you have to reach (3,3).",right
4079,"Your current position: (2,3), you have to reach (3,3).",down
4080,"Your current position: (2,2), you have to reach (1,0).",left
4081,"Your current position: (2,1), you have to reach (1,0).",left
4082,"Your current position: (2,0), you have to reach (1,0).",up
4083,"Your current position: (0,3), you have to reach (3,3).",down
4084,"Your current position: (1,3), you have to reach (3,3).",down
4085,"Your current position: (2,3), you have to reach (3,3).",down
4086,"Your current position: (1,1), you have to reach (2,1).",down
4087,"Your current position: (2,3), you have to reach (3,2).",left
4088,"Your current position: (2,2), you have to reach (3,2).",down
4089,"Your current position: (0,2), you have to reach (3,0).",down
4090,"Your current position: (1,2), you have to reach (3,0).",left
4091,"Your current position: (1,1), you have to reach (3,0).",down
4092,"Your current position: (2,1), you have to reach (3,0).",left
4093,"Your current position: (2,0), you have to reach (3,0).",down
4094,"Your current position: (2,2), you have to reach (3,1).",left
4095,"Your current position: (2,1), you have to reach (3,1).",down
4096,"Your current position: (2,1), you have to reach (2,3).",right
4097,"Your current position: (2,2), you have to reach (2,3).",right
4098,"Your current position: (2,0), you have to reach (0,0).",up
4099,"Your current position: (1,0), you have to reach (0,0).",up
4100,"Your current position: (3,2), you have to reach (1,0).",left
4101,"Your current position: (3,1), you have to reach (1,0).",up
4102,"Your current position: (2,1), you have to reach (1,0).",left
4103,"Your current position: (2,0), you have to reach (1,0).",up
4104,"Your current position: (2,3), you have to reach (2,1).",left
4105,"Your current position: (2,2), you have to reach (2,1).",left
4106,"Your current position: (3,1), you have to reach (2,0).",left
4107,"Your current position: (3,0), you have to reach (2,0).",up
4108,"Your current position: (0,0), you have to reach (3,1).",down
4109,"Your current position: (1,0), you have to reach (3,1).",down
4110,"Your current position: (2,0), you have to reach (3,1).",right
4111,"Your current position: (2,1), you have to reach (3,1).",down
4112,"Your current position: (2,2), you have to reach (1,1).",left
4113,"Your current position: (2,1), you have to reach (1,1).",up
4114,"Your current position: (1,2), you have to reach (2,3).",right
4115,"Your current position: (1,3), you have to reach (2,3).",down
4116,"Your current position: (2,2), you have to reach (0,3).",up
4117,"Your current position: (1,2), you have to reach (0,3).",right
4118,"Your current position: (1,3), you have to reach (0,3).",up
4119,"Your current position: (2,3), you have to reach (0,1).",left
4120,"Your current position: (2,2), you have to reach (0,1).",up
4121,"Your current position: (1,2), you have to reach (0,1).",left
4122,"Your current position: (1,1), you have to reach (0,1).",up
4123,"Your current position: (1,3), you have to reach (3,2).",down
4124,"Your current position: (2,3), you have to reach (3,2).",left
4125,"Your current position: (2,2), you have to reach (3,2).",down
4126,"Your current position: (3,3), you have to reach (3,1).",left
4127,"Your current position: (3,2), you have to reach (3,1).",left
4128,"Your current position: (3,3), you have to reach (3,2).",left
4129,"Your current position: (0,0), you have to reach (0,2).",right
4130,"Your current position: (0,1), you have to reach (0,2).",right
4131,"Your current position: (2,3), you have to reach (1,0).",left
4132,"Your current position: (2,2), you have to reach (1,0).",left
4133,"Your current position: (2,1), you have to reach (1,0).",left
4134,"Your current position: (2,0), you have to reach (1,0).",up
4135,"Your current position: (0,0), you have to reach (0,2).",right
4136,"Your current position: (0,1), you have to reach (0,2).",right
4137,"Your current position: (3,1), you have to reach (1,3).",right
4138,"Your current position: (3,2), you have to reach (1,3).",up
4139,"Your current position: (2,2), you have to reach (1,3).",right
4140,"Your current position: (2,3), you have to reach (1,3).",up
4141,"Your current position: (3,1), you have to reach (0,3).",up
4142,"Your current position: (2,1), you have to reach (0,3).",right
4143,"Your current position: (2,2), you have to reach (0,3).",up
4144,"Your current position: (1,2), you have to reach (0,3).",right
4145,"Your current position: (1,3), you have to reach (0,3).",up
4146,"Your current position: (1,1), you have to reach (3,2).",down
4147,"Your current position: (2,1), you have to reach (3,2).",right
4148,"Your current position: (2,2), you have to reach (3,2).",down
4149,"Your current position: (0,0), you have to reach (1,1).",right
4150,"Your current position: (0,1), you have to reach (1,1).",down
4151,"Your current position: (1,2), you have to reach (1,1).",left
4152,"Your current position: (3,3), you have to reach (3,0).",left
4153,"Your current position: (3,2), you have to reach (3,0).",left
4154,"Your current position: (3,1), you have to reach (3,0).",left
4155,"Your current position: (1,3), you have to reach (3,3).",down
4156,"Your current position: (2,3), you have to reach (3,3).",down
4157,"Your current position: (1,2), you have to reach (0,2).",up
4158,"Your current position: (1,3), you have to reach (1,2).",left
4159,"Your current position: (3,3), you have to reach (1,3).",up
4160,"Your current position: (2,3), you have to reach (1,3).",up
4161,"Your current position: (1,3), you have to reach (0,3).",up
4162,"Your current position: (3,3), you have to reach (0,1).",up
4163,"Your current position: (2,3), you have to reach (0,1).",left
4164,"Your current position: (2,2), you have to reach (0,1).",up
4165,"Your current position: (1,2), you have to reach (0,1).",left
4166,"Your current position: (1,1), you have to reach (0,1).",up
4167,"Your current position: (2,1), you have to reach (1,2).",right
4168,"Your current position: (2,2), you have to reach (1,2).",up
4169,"Your current position: (3,3), you have to reach (3,1).",left
4170,"Your current position: (3,2), you have to reach (3,1).",left
4171,"Your current position: (3,1), you have to reach (2,2).",right
4172,"Your current position: (3,2), you have to reach (2,2).",up
4173,"Your current position: (3,1), you have to reach (1,3).",right
4174,"Your current position: (3,2), you have to reach (1,3).",up
4175,"Your current position: (2,2), you have to reach (1,3).",right
4176,"Your current position: (2,3), you have to reach (1,3).",up
4177,"Your current position: (3,1), you have to reach (1,1).",up
4178,"Your current position: (2,1), you have to reach (1,1).",up
4179,"Your current position: (3,2), you have to reach (0,1).",up
4180,"Your current position: (2,2), you have to reach (0,1).",up
4181,"Your current position: (1,2), you have to reach (0,1).",left
4182,"Your current position: (1,1), you have to reach (0,1).",up
4183,"Your current position: (0,2), you have to reach (1,1).",left
4184,"Your current position: (0,1), you have to reach (1,1).",down
4185,"Your current position: (3,2), you have to reach (2,1).",left
4186,"Your current position: (3,1), you have to reach (2,1).",up
4187,"Your current position: (3,0), you have to reach (1,0).",up
4188,"Your current position: (2,0), you have to reach (1,0).",up
4189,"Your current position: (3,3), you have to reach (0,2).",up
4190,"Your current position: (2,3), you have to reach (0,2).",up
4191,"Your current position: (1,3), you have to reach (0,2).",left
4192,"Your current position: (1,2), you have to reach (0,2).",up
4193,"Your current position: (0,0), you have to reach (0,3).",right
4194,"Your current position: (0,1), you have to reach (0,3).",right
4195,"Your current position: (0,2), you have to reach (0,3).",right
4196,"Your current position: (2,1), you have to reach (1,3).",right
4197,"Your current position: (2,2), you have to reach (1,3).",right
4198,"Your current position: (2,3), you have to reach (1,3).",up
4199,"Your current position: (0,1), you have to reach (3,2).",down
4200,"Your current position: (1,1), you have to reach (3,2).",down
4201,"Your current position: (2,1), you have to reach (3,2).",right
4202,"Your current position: (2,2), you have to reach (3,2).",down
4203,"Your current position: (1,0), you have to reach (1,2).",right
4204,"Your current position: (1,1), you have to reach (1,2).",right
4205,"Your current position: (1,1), you have to reach (1,3).",right
4206,"Your current position: (1,2), you have to reach (1,3).",right
4207,"Your current position: (3,1), you have to reach (0,3).",up
4208,"Your current position: (2,1), you have to reach (0,3).",right
4209,"Your current position: (2,2), you have to reach (0,3).",up
4210,"Your current position: (1,2), you have to reach (0,3).",right
4211,"Your current position: (1,3), you have to reach (0,3).",up
4212,"Your current position: (1,1), you have to reach (2,1).",down
4213,"Your current position: (0,1), you have to reach (1,1).",down
4214,"Your current position: (3,1), you have to reach (2,3).",right
4215,"Your current position: (3,2), you have to reach (2,3).",right
4216,"Your current position: (3,3), you have to reach (2,3).",up
4217,"Your current position: (3,3), you have to reach (2,2).",left
4218,"Your current position: (3,2), you have to reach (2,2).",up
4219,"Your current position: (2,0), you have to reach (1,3).",right
4220,"Your current position: (2,1), you have to reach (1,3).",right
4221,"Your current position: (2,2), you have to reach (1,3).",right
4222,"Your current position: (2,3), you have to reach (1,3).",up
4223,"Your current position: (2,3), you have to reach (3,3).",down
4224,"Your current position: (1,1), you have to reach (3,3).",right
4225,"Your current position: (1,2), you have to reach (3,3).",down
4226,"Your current position: (2,2), you have to reach (3,3).",right
4227,"Your current position: (2,3), you have to reach (3,3).",down
4228,"Your current position: (2,2), you have to reach (1,3).",right
4229,"Your current position: (2,3), you have to reach (1,3).",up
4230,"Your current position: (0,2), you have to reach (2,1).",down
4231,"Your current position: (1,2), you have to reach (2,1).",left
4232,"Your current position: (1,1), you have to reach (2,1).",down
4233,"Your current position: (2,2), you have to reach (0,3).",up
4234,"Your current position: (1,2), you have to reach (0,3).",right
4235,"Your current position: (1,3), you have to reach (0,3).",up
4236,"Your current position: (1,1), you have to reach (3,1).",down
4237,"Your current position: (2,1), you have to reach (3,1).",down
4238,"Your current position: (0,2), you have to reach (3,3).",down
4239,"Your current position: (1,2), you have to reach (3,3).",down
4240,"Your current position: (2,2), you have to reach (3,3).",right
4241,"Your current position: (2,3), you have to reach (3,3).",down
4242,"Your current position: (0,0), you have to reach (1,0).",down
4243,"Your current position: (2,2), you have to reach (3,0).",left
4244,"Your current position: (2,1), you have to reach (3,0).",left
4245,"Your current position: (2,0), you have to reach (3,0).",down
4246,"Your current position: (1,3), you have to reach (2,1).",left
4247,"Your current position: (1,2), you have to reach (2,1).",left
4248,"Your current position: (1,1), you have to reach (2,1).",down
4249,"Your current position: (0,1), you have to reach (0,3).",right
4250,"Your current position: (0,2), you have to reach (0,3).",right
4251,"Your current position: (1,0), you have to reach (0,3).",right
4252,"Your current position: (1,1), you have to reach (0,3).",right
4253,"Your current position: (1,2), you have to reach (0,3).",right
4254,"Your current position: (1,3), you have to reach (0,3).",up
